group_id,source_path,target_path,repo,reason,risk,coupling_class,imports_count,imported_by_count,external_importers_count,external_imports_count,runtime_critical,import_rewrite
G001-D,LeeWay-Edge-Integrated/rtc/docs/CALL_MODE_INTEGRATION.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/deployment.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/guardian-core.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/integration/web.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/integration.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/MEDIA_ENGINE.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/models/voice-pipeline.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/operations/internal-admin-guide.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/operations/monitoring.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/operations/non-technical-guide.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/README.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/system-overview.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/docs/voice-pipeline.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/final-branding-audit.js,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/index.html,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/LeeWay-Edge_RTC.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,1,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/metadata.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/package-lock.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/package.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/patch-governance.js,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/README.md,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/.env.example,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/Dockerfile,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/fly.toml,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/package-lock.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/package.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/aria.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/bus.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/governance.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/governor.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,3,0,0,3,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/nexus.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/observer.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/registry.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,13,0,0,13,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/repair.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/runtime.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,3,0,0,3,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/scaler.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,4,0,0,4,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/sentinel.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/vector.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,3,0,0,3,true,true
G001-D,LeeWay-Edge-Integrated/rtc/services/sfu/src/agents/ward.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,3,0,0,3,true,true
